V024,district_code,stunting_prev,underweight_prev,wasting_prev,mean_haz,mean_waz,mean_whz,n_children,is_aspirational
9,162,0.3389,0.2842,0.1621,-1.609402985074627,-1.4612652068126522,-0.5675634517766498,475,0
9,163,0.3393,0.2656,0.0915,-1.6677712609970676,-1.4994751381215468,-0.45645833333333335,448,0
9,164,0.2669,0.2423,0.1656,-0.8719767441860465,-1.1940000000000002,-0.7329199999999999,326,0
9,165,0.4275,0.3394,0.1736,-1.7712569832402234,-1.6625484764542935,-0.798356940509915,386,0
9,166,0.3743,0.3743,0.2199,-1.4820930232558138,-1.6370194986072424,-0.894264705882353,382,0
9,167,0.3942,0.3157,0.1642,-1.6314893617021275,-1.5548367346938776,-0.6842764578833693,548,0
9,168,0.4276,0.3333,0.1842,-1.853638613861386,-1.6932535885167463,-0.5938709677419355,456,0
9,169,0.3705,0.3088,0.2131,-1.4237471783295712,-1.5534513274336283,-0.911627358490566,502,0
9,170,0.4342,0.443,0.2018,-1.7839588688946015,-1.8595098039215685,-0.7620980926430517,456,0
9,171,0.3991,0.3696,0.1995,-1.5528108108108107,-1.6887403598971722,-0.7714366197183099,441,0
9,172,0.4407,0.3445,0.1544,-1.8083684210526314,-1.65125,-0.7564550264550265,447,0
9,173,0.3037,0.2523,0.0911,-1.5986096256684492,-1.3928871391076116,-0.6669066666666666,428,0
9,174,0.3251,0.3004,0.1481,-1.656472081218274,-1.616180904522613,-0.9546700507614213,486,0
9,175,0.3047,0.2686,0.1151,-1.4295738636363635,-1.4681767955801106,-0.9294067796610169,443,0
9,176,0.3333,0.2626,0.1414,-1.5294723618090453,-1.466504854368932,-0.7177608142493638,495,0
9,177,0.2671,0.242,0.105,-1.3661764705882353,-1.2980263157894736,-0.7108870967741935,438,0
9,178,0.2594,0.246,0.1471,-1.3193610223642172,-1.3623492063492062,-0.9179742765273312,374,0
9,180,0.4188,0.3174,0.1162,-1.7740257352941178,-1.5366071428571428,-0.5527376425855514,671,0
9,181,0.4449,0.364,0.1757,-1.9048963317384369,-1.7765163297045101,-0.7807804878048781,717,0
9,182,0.3579,0.3278,0.197,-1.2479722703639515,-1.646166950596252,-0.9153658536585365,665,0
9,183,0.3947,0.2536,0.1063,-1.6297607655502393,-1.3174013921113688,-0.45169856459330143,489,0
9,184,0.3376,0.3392,0.2054,-1.030261780104712,-1.6430546075085324,-1.0233840304182509,628,0
9,185,0.3216,0.3606,0.2086,-1.2884901531728665,-1.67260593220339,-1.1687810383747177,513,0
9,186,0.3785,0.3207,0.1693,-1.4647345132743361,-1.4942548596112313,-0.8599772209567198,502,0
9,187,0.3447,0.3255,0.1809,-1.4101980198019803,-1.662378640776699,-1.0467506297229219,470,0
9,188,0.2544,0.2987,0.1925,-1.01573264781491,-1.6063157894736841,-1.1795956873315363,452,0
9,189,0.2726,0.334,0.2092,-1.1881333333333333,-1.6249358974358974,-1.1007061503416855,521,0
9,190,0.3092,0.3478,0.2271,-1.2878857142857143,-1.6774373259052926,-1.215128205128205,414,0
9,191,0.2824,0.2361,0.1157,-1.4494166666666666,-1.4386703601108033,-0.8503621169916433,432,0
9,192,0.2304,0.2801,0.1702,-0.8172753623188406,-1.4205382436260623,-0.9031132075471698,382,0
9,193,0.4125,0.4073,0.201,-1.568659217877095,-1.78175,-1.0581213872832371,383,0
9,194,0.371,0.2883,0.1351,-1.3645969498910675,-1.4834255319148937,-0.8182743362831859,496,0
9,195,0.3485,0.3508,0.2187,-1.235,-1.682772277227723,-1.0899462365591397,439,0
9,196,0.3279,0.2566,0.1405,-1.4377830188679246,-1.5464418604651164,-0.8315724815724815,491,0
9,197,0.3316,0.3472,0.1736,-1.3012777777777778,-1.6114402173913043,-0.9950295857988165,386,0
9,198,0.3671,0.2308,0.0787,-1.7815478615071283,-1.379475806451613,-0.48034412955465583,572,0
9,199,0.3662,0.2368,0.1031,-1.57521164021164,-1.3724155844155843,-0.5186559139784946,456,0
9,200,0.3434,0.4081,0.2182,-1.3779176201372998,-1.9083561643835616,-1.2803649635036496,495,0
9,201,0.4308,0.2768,0.1267,-1.7405077262693158,-1.5240692640692641,-0.5453846153846154,513,0
9,202,0.3874,0.3089,0.157,-1.7127845528455286,-1.612007874015748,-0.6327100840336135,586,0
9,921,0.296,0.274,0.162,-1.4382885085574573,-1.5477884615384616,-1.0218181818181817,500,0
9,922,0.4686,0.3932,0.1508,-1.9403614457831324,-1.8352559055118112,-0.729156378600823,557,0
9,923,0.2181,0.1852,0.1317,-1.1463350785340314,-1.229371727748691,-0.8193157894736841,243,0
9,924,0.2807,0.2532,0.1523,-1.2862111801242235,-1.2772709163346614,-0.5972162740899357,545,0
9,925,0.3122,0.2489,0.1572,-1.0718734793187348,-1.3697841726618707,-0.7721012658227848,458,0
9,926,0.2578,0.2387,0.1551,-1.2214722222222223,-1.318641304347826,-0.6843641618497109,419,0
